"","gene","cluster4"
"ENSMUSG00000097240_2","ENSMUSG00000097240_2",1
"Gm17399","Gm17399",1
"Gm17399_1","Gm17399_1",1
"ENSMUSG00000084608_2","ENSMUSG00000084608_2",1
"ENSMUSG00000084608_3","ENSMUSG00000084608_3",1
"ENSMUSG00000103968","ENSMUSG00000103968",1
"ENSMUSG00000086119","ENSMUSG00000086119",1
"Scn11a_1","Scn11a_1",1
"ENSMUSG00000097223","ENSMUSG00000097223",1
"ENSMUSG00000097223_2","ENSMUSG00000097223_2",1
"Wdr48","Wdr48",1
"Ttc21a_1","Ttc21a_1",1
"ENSMUSG00000104494","ENSMUSG00000104494",1
"ENSMUSG00000082356_1","ENSMUSG00000082356_1",1
"ENSMUSG00000058492","ENSMUSG00000058492",1
"ENSMUSG00000090608","ENSMUSG00000090608",1
"ENSMUSG00000058922","ENSMUSG00000058922",1
"Lztfl1_1","Lztfl1_1",1
"Lztfl1_2","Lztfl1_2",1
"Lztfl1_3","Lztfl1_3",1
"Xcr1","Xcr1",1
"Ccr1","Ccr1",1
"Ccr1_1","Ccr1_1",1
"Gm23044_4","Gm23044_4",1
"Utrn","Utrn",1
"Cited2","Cited2",1
"Perp","Perp",1
"Olig3_8","Olig3_8",1
"Ifngr1","Ifngr1",1
"Ifngr1_1","Ifngr1_1",1
"Map3k5","Map3k5",1
"ENSMUSG00000097923","ENSMUSG00000097923",1
"ENSMUSG00000097923_1","ENSMUSG00000097923_1",1
"H60b","H60b",1
"H60b_1","H60b_1",1
"Tmem200a","Tmem200a",1
"Tmem200a_1","Tmem200a_1",1
"Themis_4","Themis_4",1
"Rsph4a_1","Rsph4a_1",1
"Fyn_5","Fyn_5",1
"ENSMUSG00000102632","ENSMUSG00000102632",1
"ENSMUSG00000065870_1","ENSMUSG00000065870_1",1
"Gm9034_2","Gm9034_2",1
"ENSMUSG00000098642","ENSMUSG00000098642",1
